院校名,类别,分数
常州大学,物理类|本科批|普通类,最低分/最低位次：537/87853
山东理工大学,物理类|本科批|普通类,最低分/最低位次：537/87722
山东理工大学,物理类|本科批|普通类,最低分/最低位次：537/88118
河南理工大学,物理类|本科批|普通类,最低分/最低位次：537/87288
中北大学,物理类|本科批|普通类,最低分/最低位次：537/88126
西藏大学,物理类|本科批|普通类,最低分/最低位次：537/88185
西安石油大学,物理类|本科批|普通类,最低分/最低位次：537/87191
湖南工业大学,物理类|本科批|普通类,最低分/最低位次：537/87012
江西中医药大学,物理类|本科批|普通类,最低分/最低位次：537/87614
北京石油化工学院,物理类|本科批|普通类,最低分/最低位次：537/87169
浙江科技学院,物理类|本科批|普通类,最低分/最低位次：537/87199
山西财经大学,物理类|本科批|普通类,最低分/最低位次：537/87240
湖南理工学院,物理类|本科批|普通类,最低分/最低位次：537/87433
贵州财经大学,物理类|本科批|普通类,最低分/最低位次：537/87092
燕山大学,物理类|本科批|普通类,最低分/最低位次：536/89595
常州大学,物理类|本科批|普通类,最低分/最低位次：536/88619
集美大学,物理类|本科提前批|普通类,最低分/最低位次：536/89556
南华大学,物理类|本科批|普通类,最低分/最低位次：536/89433
南华大学,物理类|本科批|普通类,最低分/最低位次：536/88970
西南科技大学,物理类|本科批|普通类,最低分/最低位次：536/88360
西南科技大学,物理类|本科批|普通类,最低分/最低位次：536/88686
东华理工大学,物理类|本科批|普通类,最低分/最低位次：536/88910
华北理工大学,物理类|本科批|普通类,最低分/最低位次：536/88464
华北理工大学,物理类|本科批|普通类,最低分/最低位次：536/88445
广东海洋大学,物理类|本科批|普通类,最低分/最低位次：536/89392
湖南医药学院,物理类|本科批|普通类,最低分/最低位次：536/89247
河南师范大学,物理类|本科批|普通类,最低分/最低位次：535/90445
长春理工大学,物理类|本科批|普通类,最低分/最低位次：535/90246
安徽工业大学,物理类|本科批|普通类,最低分/最低位次：535/91011
集美大学,物理类|本科提前批|普通类,最低分/最低位次：535/90955
南昌航空大学,物理类|本科批|普通类,最低分/最低位次：535/89755
佛山科学技术学院,物理类|本科批|普通类,最低分/最低位次：535/90145
佛山科学技术学院,物理类|本科批|普通类,最低分/最低位次：535/90894
浙大宁波理工学院,物理类|本科批|普通类,最低分/最低位次：535/89863
桂林理工大学,物理类|本科批|普通类,最低分/最低位次：535/90268
浙江科技学院,物理类|本科批|普通类,最低分/最低位次：535/89832
广东警官学院,物理类|本科批|普通类,最低分/最低位次：535/89888
哈尔滨医科大学,物理类|本科批|普通类,最低分/最低位次：534/91147
福建农林大学,物理类|本科批|普通类,最低分/最低位次：534/91650
黑龙江大学,物理类|本科批|普通类,最低分/最低位次：534/92332
河南农业大学,物理类|本科批|普通类,最低分/最低位次：534/91831
河南科技大学,物理类|本科批|普通类,最低分/最低位次：534/91476
长江大学,物理类|本科批|普通类,最低分/最低位次：534/92083
云南师范大学,物理类|本科批|普通类,最低分/最低位次：534/91420
兰州理工大学,物理类|本科批|普通类,最低分/最低位次：534/91381
上海工程技术大学,物理类|本科批|普通类,最低分/最低位次：534/91935
中南林业科技大学,物理类|本科批|普通类,最低分/最低位次：534/91517
嘉兴学院,物理类|本科批|普通类,最低分/最低位次：534/91135
吉首大学,物理类|本科批|普通类,最低分/最低位次：534/91204
云南农业大学,物理类|本科批|普通类,最低分/最低位次：534/91609
云南财经大学,物理类|本科批|普通类,最低分/最低位次：534/91932
中国劳动关系学院,物理类|本科批|普通类,最低分/最低位次：534/91327
中国人民警察大学,物理类|本科批|普通类,最低分/最低位次：534/91651
沈阳工程学院,物理类|本科批|普通类,最低分/最低位次：534/91666
四川音乐学院,物理类|本科批|普通类,最低分/最低位次：534/92111
遵义医科大学医学与科技学院,物理类|本科批|普通类,最低分/最低位次：534/92328
河南农业大学,物理类|本科批|普通类,最低分/最低位次：533/93475
长春理工大学,物理类|本科批|普通类,最低分/最低位次：533/93238
长春理工大学,物理类|本科批|普通类,最低分/最低位次：533/93121
常州大学,物理类|本科批|普通类,最低分/最低位次：533/92502
山东理工大学,物理类|本科批|普通类,最低分/最低位次：533/92962
山东理工大学,物理类|本科批|普通类,最低分/最低位次：533/93029
江西理工大学,物理类|本科批|普通类,最低分/最低位次：533/92972
中北大学,物理类|本科批|普通类,最低分/最低位次：533/93825
中南林业科技大学,物理类|本科批|普通类,最低分/最低位次：533/93568
安徽建筑大学,物理类|本科批|普通类,最低分/最低位次：533/93731
佛山科学技术学院,物理类|本科批|普通类,最低分/最低位次：533/93220
大连工业大学,物理类|本科批|普通类,最低分/最低位次：533/92806
安徽中医药大学,物理类|本科批|普通类,最低分/最低位次：533/92966
赣南师范大学,物理类|本科批|普通类,最低分/最低位次：533/92591
沈阳理工大学,物理类|本科批|普通类,最低分/最低位次：533/93663
重庆科技学院,物理类|本科批|普通类,最低分/最低位次：533/93779
南宁师范大学,物理类|本科批|普通类,最低分/最低位次：533/93595
井冈山大学,物理类|本科批|普通类,最低分/最低位次：533/93756
惠州学院,物理类|本科批|普通类,最低分/最低位次：533/93053
惠州学院,物理类|本科批|普通类,最低分/最低位次：533/92790
齐齐哈尔医学院,物理类|本科批|普通类,最低分/最低位次：533/93798
牡丹江医学院,物理类|本科批|普通类,最低分/最低位次：533/93743
齐鲁工业大学,物理类|本科批|普通类,最低分/最低位次：532/94357
福建医科大学,物理类|本科批|普通类,最低分/最低位次：532/94710
河南理工大学,物理类|本科批|普通类,最低分/最低位次：532/95159
南昌航空大学,物理类|本科批|普通类,最低分/最低位次：532/94041
北京印刷学院,物理类|本科批|普通类,最低分/最低位次：532/94006
山东第一医科大学,物理类|本科批|普通类,最低分/最低位次：532/94120
辽宁工程技术大学,物理类|本科批|普通类,最低分/最低位次：532/94753
桂林理工大学,物理类|本科批|普通类,最低分/最低位次：532/95117
闽南师范大学,物理类|本科批|普通类,最低分/最低位次：532/93935
内蒙古医科大学,物理类|本科批|普通类,最低分/最低位次：532/94782
广东医科大学,物理类|本科批|普通类,最低分/最低位次：532/94712
湖北经济学院,物理类|本科批|普通类,最低分/最低位次：532/94979
长春师范大学,物理类|本科批|普通类,最低分/最低位次：532/94607
岭南师范学院,物理类|本科批|普通类,最低分/最低位次：532/95091
衡阳师范学院,物理类|本科批|普通类,最低分/最低位次：532/93904
宜春学院,物理类|本科批|普通类,最低分/最低位次：532/94715
天津医科大学临床医学院,物理类|本科批|普通类,最低分/最低位次：532/94148
浙江海洋大学,物理类|本科批|普通类,最低分/最低位次：531/95457
江西农业大学,物理类|本科批|普通类,最低分/最低位次：531/96098
江西农业大学,物理类|本科批|普通类,最低分/最低位次：531/95445
安徽建筑大学,物理类|本科批|普通类,最低分/最低位次：531/95497
湖南中医药大学,物理类|本科批|普通类,最低分/最低位次：531/96030
渤海大学,物理类|本科批|普通类,最低分/最低位次：531/95307
吉首大学,物理类|本科批|普通类,最低分/最低位次：531/96056
广东医科大学,物理类|本科批|普通类,最低分/最低位次：531/95769
江苏理工学院,物理类|本科批|普通类,最低分/最低位次：531/96528
四川轻化工大学,物理类|本科批|普通类,最低分/最低位次：531/96699
广西民族大学,物理类|本科批|普通类,最低分/最低位次：531/96713
惠州学院,物理类|本科批|普通类,最低分/最低位次：531/95803
湘南学院,物理类|本科批|普通类,最低分/最低位次：531/96636
湖南医药学院,物理类|本科批|普通类,最低分/最低位次：531/95489
河北医科大学临床学院,物理类|本科批|普通类,最低分/最低位次：531/95546
山东中医药大学,物理类|本科批|普通类,最低分/最低位次：530/98121
西华师范大学,物理类|本科批|普通类,最低分/最低位次：530/98115
安徽工程大学,物理类|本科批|普通类,最低分/最低位次：530/98039
江苏理工学院,物理类|本科批|普通类,最低分/最低位次：530/97424
长沙学院,物理类|本科批|普通类,最低分/最低位次：530/96736
西南林业大学,物理类|本科批|普通类,最低分/最低位次：530/97274
山西大同大学,物理类|本科批|普通类,最低分/最低位次：530/97691
山东中医药大学,物理类|本科批|普通类,最低分/最低位次：529/99394
河南中医药大学,物理类|本科批|普通类,最低分/最低位次：529/98660
佛山科学技术学院,物理类|本科批|普通类,最低分/最低位次：529/98967
山东建筑大学,物理类|本科批|普通类,最低分/最低位次：529/99217
华北理工大学,物理类|本科批|普通类,最低分/最低位次：529/98431
桂林理工大学,物理类|本科批|普通类,最低分/最低位次：529/99039
河北工程大学,物理类|本科批|普通类,最低分/最低位次：529/99105
内蒙古民族大学,物理类|本科批|普通类,最低分/最低位次：529/98246
云南农业大学,物理类|本科批|普通类,最低分/最低位次：529/98859
长春中医药大学,物理类|本科批|普通类,最低分/最低位次：529/99201
广东海洋大学,物理类|本科批|普通类,最低分/最低位次：529/98976
吉林财经大学,物理类|本科批|普通类,最低分/最低位次：529/98349
惠州学院,物理类|本科批|普通类,最低分/最低位次：529/99074
成都师范学院,物理类|本科批|普通类,最低分/最低位次：529/98212
湖南财政经济学院,物理类|本科批|普通类,最低分/最低位次：529/98995
广西财经学院,物理类|本科批|普通类,最低分/最低位次：529/98322
湖南警察学院,物理类|本科批|普通类,最低分/最低位次：529/99197
浙江理工大学,物理类|本科批|普通类,最低分/最低位次：528/99703
安徽理工大学,物理类|本科批|普通类,最低分/最低位次：528/100847
中北大学,物理类|本科批|普通类,最低分/最低位次：528/100608
哈尔滨师范大学,物理类|本科批|普通类,最低分/最低位次：528/100381
郑州轻工业大学,物理类|本科批|普通类,最低分/最低位次：528/100181
佛山科学技术学院,物理类|本科批|普通类,最低分/最低位次：528/99837
大连交通大学,物理类|本科批|普通类,最低分/最低位次：528/100793
大理大学,物理类|本科批|普通类,最低分/最低位次：528/99917
天津城建大学,物理类|本科批|普通类,最低分/最低位次：528/100745
长春师范大学,物理类|本科批|普通类,最低分/最低位次：528/100945
闽江学院,物理类|本科批|普通类,最低分/最低位次：528/100134
湖北科技学院,物理类|本科批|普通类,最低分/最低位次：528/99829
广西民族大学,物理类|本科批|普通类,最低分/最低位次：528/99921
惠州学院,物理类|本科批|普通类,最低分/最低位次：528/100731
广西科技大学,物理类|本科批|普通类,最低分/最低位次：528/99868
河北中医学院,物理类|本科批|普通类,最低分/最低位次：528/99903
南京特殊教育师范学院,物理类|本科批|普通类,最低分/最低位次：528/100862
南昌医学院,物理类|本科批|普通类,最低分/最低位次：528/100036
昆明医科大学海源学院,物理类|本科批|普通类,最低分/最低位次：528/100443
上海视觉艺术学院,物理类|本科批|普通类,最低分/最低位次：528/100936
长春理工大学,物理类|本科批|普通类,最低分/最低位次：527/101192
哈尔滨理工大学,物理类|本科批|普通类,最低分/最低位次：527/101736
沈阳工业大学,物理类|本科批|普通类,最低分/最低位次：527/101570
兰州交通大学,物理类|本科批|普通类,最低分/最低位次：527/102126
大连工业大学,物理类|本科批|普通类,最低分/最低位次：527/102363
沈阳理工大学,物理类|本科批|普通类,最低分/最低位次：527/102201
淮北师范大学,物理类|本科批|普通类,最低分/最低位次：527/101730
太原科技大学,物理类|本科批|普通类,最低分/最低位次：527/101112
四川轻化工大学,物理类|本科批|普通类,最低分/最低位次：527/101806
金陵科技学院,物理类|本科批|普通类,最低分/最低位次：527/102086
韶关学院,物理类|本科批|普通类,最低分/最低位次：527/101776
广东第二师范学院,物理类|本科批|普通类,最低分/最低位次：527/102028
贵州中医药大学,物理类|本科批|普通类,最低分/最低位次：527/101057
山东农业大学,物理类|本科批|普通类,最低分/最低位次：526/102979
哈尔滨理工大学,物理类|本科批|普通类,最低分/最低位次：526/102814
安徽建筑大学,物理类|本科批|普通类,最低分/最低位次：526/103089
聊城大学,物理类|本科批|普通类,最低分/最低位次：526/102940
辽宁石油化工大学,物理类|本科批|普通类,最低分/最低位次：526/102819
闽江学院,物理类|本科批|普通类,最低分/最低位次：526/102946
陕西理工大学,物理类|本科批|普通类,最低分/最低位次：526/102803
惠州学院,物理类|本科批|普通类,最低分/最低位次：526/102636
衡阳师范学院,物理类|本科批|普通类,最低分/最低位次：526/103302
云南财经大学,物理类|本科批|普通类,最低分/最低位次：526/103814
甘肃中医药大学,物理类|本科批|普通类,最低分/最低位次：526/103314
中国民用航空飞行学院,物理类|本科批|普通类,最低分/最低位次：526/103429
湖北理工学院,物理类|本科批|普通类,最低分/最低位次：526/102781
华北科技学院,物理类|本科批|普通类,最低分/最低位次：526/103213
山东协和学院,物理类|本科批|普通类,最低分/最低位次：526/103331
黑龙江大学,物理类|本科批|普通类,最低分/最低位次：525/104885
河南工业大学,物理类|本科批|普通类,最低分/最低位次：525/104469
南华大学,物理类|本科批|普通类,最低分/最低位次：525/105243
东北石油大学,物理类|本科批|普通类,最低分/最低位次：525/104362
景德镇陶瓷大学,物理类|本科批|普通类,最低分/最低位次：525/103998
广东海洋大学,物理类|本科批|普通类,最低分/最低位次：525/104012
长春师范大学,物理类|本科批|普通类,最低分/最低位次：525/104727
洛阳师范学院,物理类|本科批|普通类,最低分/最低位次：525/104177
陕西理工大学,物理类|本科批|普通类,最低分/最低位次：525/104737
惠州学院,物理类|本科批|普通类,最低分/最低位次：525/104494
南昌医学院,物理类|本科批|普通类,最低分/最低位次：525/104526
福建农林大学,物理类|本科批|普通类,最低分/最低位次：524/106523
山东农业大学,物理类|本科批|普通类,最低分/最低位次：524/105335
河南工业大学,物理类|本科批|普通类,最低分/最低位次：524/106319
河南中医药大学,物理类|本科批|普通类,最低分/最低位次：524/105738
大连工业大学,物理类|本科批|普通类,最低分/最低位次：524/106438
江西科技师范大学,物理类|本科批|普通类,最低分/最低位次：524/106142
沈阳大学,物理类|本科批|普通类,最低分/最低位次：524/106529
岭南师范学院,物理类|本科批|普通类,最低分/最低位次：524/106392
岭南师范学院,物理类|本科批|普通类,最低分/最低位次：524/105843
广西民族大学,物理类|本科批|普通类,最低分/最低位次：524/106195
杭州医学院,物理类|本科批|普通类,最低分/最低位次：524/105865
广西科技大学,物理类|本科批|普通类,最低分/最低位次：524/105940
海南医学院,物理类|本科批|普通类,最低分/最低位次：524/105368
广东第二师范学院,物理类|本科批|普通类,最低分/最低位次：524/105333
湘南学院,物理类|本科批|普通类,最低分/最低位次：524/105787
山西中医药大学,物理类|本科批|普通类,最低分/最低位次：524/105260
广西医科大学,物理类|本科批|普通类,最低分/最低位次：523/107080
哈尔滨理工大学,物理类|本科批|普通类,最低分/最低位次：523/107409
东北石油大学,物理类|本科批|普通类,最低分/最低位次：523/107044
东北石油大学,物理类|本科批|普通类,最低分/最低位次：523/106737
沈阳建筑大学,物理类|本科批|普通类,最低分/最低位次：523/108037
山西师范大学,物理类|本科批|普通类,最低分/最低位次：523/107383
辽宁科技大学,物理类|本科批|普通类,最低分/最低位次：523/108008
广东海洋大学,物理类|本科批|普通类,最低分/最低位次：523/107355
西南林业大学,物理类|本科批|普通类,最低分/最低位次：523/107254
成都师范学院,物理类|本科批|普通类,最低分/最低位次：523/106886
韶关学院,物理类|本科批|普通类,最低分/最低位次：523/107626
河北医科大学,物理类|本科批|普通类,最低分/最低位次：522/109499
南通大学,物理类|本科批|普通类,最低分/最低位次：522/108454
西安工程大学,物理类|本科批|普通类,最低分/最低位次：522/109400
新疆医科大学,物理类|本科批|普通类,最低分/最低位次：522/108660
辽宁石油化工大学,物理类|本科批|普通类,最低分/最低位次：522/108690
吉林师范大学,物理类|本科批|普通类,最低分/最低位次：522/109546
延安大学,物理类|本科批|普通类,最低分/最低位次：522/109534
长春工业大学,物理类|本科批|普通类,最低分/最低位次：522/108646
遵义医科大学,物理类|本科批|普通类,最低分/最低位次：522/108401
宁波工程学院,物理类|本科批|普通类,最低分/最低位次：522/108517
仲恺农业工程学院,物理类|本科批|普通类,最低分/最低位次：522/109571
泉州师范学院,物理类|本科批|普通类,最低分/最低位次：522/108191
惠州学院,物理类|本科批|普通类,最低分/最低位次：522/109092
衡阳师范学院,物理类|本科批|普通类,最低分/最低位次：522/109684
湖北工程学院,物理类|本科批|普通类,最低分/最低位次：522/108701
湖南工程学院,物理类|本科批|普通类,最低分/最低位次：522/109136
广东第二师范学院,物理类|本科批|普通类,最低分/最低位次：522/109390
南昌师范学院,物理类|本科批|普通类,最低分/最低位次：522/109382
上海健康医学院,物理类|本科批|普通类,最低分/最低位次：522/108773
福建农林大学,物理类|本科批|普通类,最低分/最低位次：521/110769
江西农业大学,物理类|本科批|普通类,最低分/最低位次：521/109940
兰州理工大学,物理类|本科批|普通类,最低分/最低位次：521/111079
山西农业大学,物理类|本科批|普通类,最低分/最低位次：521/110034
嘉兴学院,物理类|本科批|普通类,最低分/最低位次：521/110377
沈阳化工大学,物理类|本科批|普通类,最低分/最低位次：521/110136
合肥学院,物理类|本科批|普通类,最低分/最低位次：521/110341
江西中医药大学,物理类|本科批|普通类,最低分/最低位次：521/110935
广东技术师范大学,物理类|本科批|普通类,最低分/最低位次：521/110887
湖北第二师范学院,物理类|本科批|普通类,最低分/最低位次：521/110100
井冈山大学,物理类|本科批|普通类,最低分/最低位次：521/110814
泉州师范学院,物理类|本科批|普通类,最低分/最低位次：521/110886
湖北科技学院,物理类|本科批|普通类,最低分/最低位次：521/110160
广西民族大学,物理类|本科批|普通类,最低分/最低位次：521/110617
湖南城市学院,物理类|本科批|普通类,最低分/最低位次：521/111164
广西科技大学,物理类|本科批|普通类,最低分/最低位次：521/110496
河北中医学院,物理类|本科批|普通类,最低分/最低位次：521/110453
韩山师范学院,物理类|本科批|普通类,最低分/最低位次：521/110864
云南师范大学,物理类|本科批|普通类,最低分/最低位次：520/111166
武汉纺织大学,物理类|本科批|普通类,最低分/最低位次：520/111662
江西农业大学,物理类|本科批|普通类,最低分/最低位次：520/111848
青岛农业大学,物理类|本科批|普通类,最低分/最低位次：520/112262
郑州轻工业大学,物理类|本科批|普通类,最低分/最低位次：520/112229
大连工业大学,物理类|本科批|普通类,最低分/最低位次：520/111726
沈阳化工大学,物理类|本科批|普通类,最低分/最低位次：520/111877
南昌工程学院,物理类|本科批|普通类,最低分/最低位次：520/111692
广东海洋大学,物理类|本科批|普通类,最低分/最低位次：520/111613
西南林业大学,物理类|本科批|普通类,最低分/最低位次：520/112191
惠州学院,物理类|本科批|普通类,最低分/最低位次：520/111721
惠州学院,物理类|本科批|普通类,最低分/最低位次：520/112210
惠州学院,物理类|本科批|普通类,最低分/最低位次：520/112512
衡阳师范学院,物理类|本科批|普通类,最低分/最低位次：520/111198
肇庆学院,物理类|本科批|普通类,最低分/最低位次：520/112382
赣南医学院,物理类|本科批|普通类,最低分/最低位次：520/112488
防灾科技学院,物理类|本科批|普通类,最低分/最低位次：520/112427
丽水学院,物理类|本科批|普通类,最低分/最低位次：520/112284
湖北理工学院,物理类|本科批|普通类,最低分/最低位次：520/112283
新余学院,物理类|本科批|普通类,最低分/最低位次：520/112549
江西警察学院,物理类|本科批|普通类,最低分/最低位次：520/111416
南昌工程学院,物理类|本科批|普通类,最低分/最低位次：519/113370
江西科技师范大学,物理类|本科批|普通类,最低分/最低位次：519/112694
太原科技大学,物理类|本科批|普通类,最低分/最低位次：519/113297
天津城建大学,物理类|本科批|普通类,最低分/最低位次：519/113015
山东交通学院,物理类|本科提前批|普通类,最低分/最低位次：519/113320
常熟理工学院,物理类|本科批|普通类,最低分/最低位次：519/113749
湖北文理学院,物理类|本科批|普通类,最低分/最低位次：519/112677
洛阳师范学院,物理类|本科批|普通类,最低分/最低位次：519/113842
陕西理工大学,物理类|本科批|普通类,最低分/最低位次：519/112578
广西中医药大学,物理类|本科批|普通类,最低分/最低位次：519/113259
惠州学院,物理类|本科批|普通类,最低分/最低位次：519/113661
惠州学院,物理类|本科批|普通类,最低分/最低位次：519/112585
桂林医学院,物理类|本科批|普通类,最低分/最低位次：519/113449
甘肃中医药大学,物理类|本科批|普通类,最低分/最低位次：519/113719
中国民用航空飞行学院,物理类|本科批|普通类,最低分/最低位次：519/113904
上海健康医学院,物理类|本科批|普通类,最低分/最低位次：519/112680
大连工业大学,物理类|本科批|普通类,最低分/最低位次：518/114132
内蒙古师范大学,物理类|本科批|普通类,最低分/最低位次：518/115291
淮北师范大学,物理类|本科批|普通类,最低分/最低位次：518/115286
广东技术师范大学,物理类|本科批|普通类,最低分/最低位次：518/114607
景德镇陶瓷大学,物理类|本科批|普通类,最低分/最低位次：518/115052
新疆师范大学,物理类|本科批|普通类,最低分/最低位次：518/114774
井冈山大学,物理类|本科批|普通类,最低分/最低位次：518/114836
长沙学院,物理类|本科批|普通类,最低分/最低位次：518/114113
天津职业技术师范大学,物理类|本科批|普通类,最低分/最低位次：518/115505
湖北汽车工业学院,物理类|本科批|普通类,最低分/最低位次：518/115325
广东药科大学,物理类|本科批|普通类,最低分/最低位次：518/114286
韶关学院,物理类|本科批|普通类,最低分/最低位次：518/114506
韶关学院,物理类|本科批|普通类,最低分/最低位次：518/114796
西安航空学院,物理类|本科批|普通类,最低分/最低位次：518/114823
湘南学院,物理类|本科批|普通类,最低分/最低位次：518/115519
安顺学院,物理类|本科批|普通类,最低分/最低位次：518/114810
长治医学院,物理类|本科批|普通类,最低分/最低位次：518/115125
湖南财政经济学院,物理类|本科批|普通类,最低分/最低位次：518/115195
安徽医科大学临床医学院,物理类|本科批|普通类,最低分/最低位次：518/114622
锦州医科大学医疗学院,物理类|本科批|普通类,最低分/最低位次：518/115172
湖南中医药大学湘杏学院,物理类|本科批|普通类,最低分/最低位次：518/114489
鲁东大学,物理类|本科批|普通类,最低分/最低位次：517/116361
大连工业大学,物理类|本科批|普通类,最低分/最低位次：517/115690
临沂大学,物理类|本科批|普通类,最低分/最低位次：517/115834
长江师范学院,物理类|本科批|普通类,最低分/最低位次：517/116111
遵义医科大学,物理类|本科批|普通类,最低分/最低位次：517/116373
长沙学院,物理类|本科批|普通类,最低分/最低位次：517/116701
广东药科大学,物理类|本科批|普通类,最低分/最低位次：517/116108
湖南城市学院,物理类|本科批|普通类,最低分/最低位次：517/116366
韶关学院,物理类|本科批|普通类,最低分/最低位次：517/115833
河北地质大学,物理类|本科批|普通类,最低分/最低位次：517/116883
武汉体育学院,物理类|本科批|普通类,最低分/最低位次：517/116205
无锡学院,物理类|本科批|普通类,最低分/最低位次：517/116399
新疆第二医学院,物理类|本科批|普通类,最低分/最低位次：517/116875
山东工艺美术学院,物理类|本科批|普通类,最低分/最低位次：517/116018
湖州师范学院,物理类|本科批|普通类,最低分/最低位次：516/117288
青海师范大学,物理类|本科批|普通类,最低分/最低位次：516/118112
沈阳化工大学,物理类|本科批|普通类,最低分/最低位次：516/118539
锦州医科大学,物理类|本科批|普通类,最低分/最低位次：516/117234
安庆师范大学,物理类|本科批|普通类,最低分/最低位次：516/118531
江西科技师范大学,物理类|本科批|普通类,最低分/最低位次：516/117704
沈阳大学,物理类|本科批|普通类,最低分/最低位次：516/117551
长春中医药大学,物理类|本科批|普通类,最低分/最低位次：516/117147
哈尔滨商业大学,物理类|本科批|普通类,最低分/最低位次：516/118146
徐州工程学院,物理类|本科批|普通类,最低分/最低位次：516/117557
湖北工程学院,物理类|本科批|普通类,最低分/最低位次：516/118407
咸阳师范学院,物理类|本科批|普通类,最低分/最低位次：516/118427
邵阳学院,物理类|本科批|普通类,最低分/最低位次：516/117944
湖南中医药大学湘杏学院,物理类|本科批|普通类,最低分/最低位次：516/117248
黑龙江中医药大学,物理类|本科批|普通类,最低分/最低位次：515/119643
沈阳化工大学,物理类|本科批|普通类,最低分/最低位次：515/118632
淮北师范大学,物理类|本科批|普通类,最低分/最低位次：515/118645
长春工业大学,物理类|本科批|普通类,最低分/最低位次：515/119351
广东海洋大学,物理类|本科批|普通类,最低分/最低位次：515/119669
天津城建大学,物理类|本科批|普通类,最低分/最低位次：515/119251
岭南师范学院,物理类|本科批|普通类,最低分/最低位次：515/119171
北京服装学院,物理类|本科批|普通类,最低分/最低位次：515/119504
山东农业大学,物理类|本科批|普通类,最低分/最低位次：514/121402
广西师范大学,物理类|本科批|普通类,最低分/最低位次：514/121288
青岛农业大学,物理类|本科批|普通类,最低分/最低位次：514/121207
湖南工业大学,物理类|本科批|普通类,最低分/最低位次：514/121057
景德镇陶瓷大学,物理类|本科批|普通类,最低分/最低位次：514/120823
内蒙古工业大学,物理类|本科批|普通类,最低分/最低位次：514/120475
盐城工学院,物理类|本科批|普通类,最低分/最低位次：514/120413
长春师范大学,物理类|本科批|普通类,最低分/最低位次：514/120712
岭南师范学院,物理类|本科批|普通类,最低分/最低位次：514/121006
西安文理学院,物理类|本科批|普通类,最低分/最低位次：514/120393
甘肃中医药大学,物理类|本科批|普通类,最低分/最低位次：514/120536
湖南文理学院,物理类|本科批|普通类,最低分/最低位次：514/121474
韶关学院,物理类|本科批|普通类,最低分/最低位次：514/120112
北部湾大学,物理类|本科批|普通类,最低分/最低位次：514/121334
湖南科技学院,物理类|本科批|普通类,最低分/最低位次：514/120982
苏州城市学院,物理类|本科批|普通类,最低分/最低位次：514/121515
兰州财经大学,物理类|本科批|普通类,最低分/最低位次：514/120988
邵阳学院,物理类|本科批|普通类,最低分/最低位次：514/121489
黑龙江中医药大学,物理类|本科批|普通类,最低分/最低位次：513/122809
合肥学院,物理类|本科批|普通类,最低分/最低位次：513/121780
长春工业大学,物理类|本科批|普通类,最低分/最低位次：513/122352
广东海洋大学,物理类|本科批|普通类,最低分/最低位次：513/121804
广东海洋大学,物理类|本科批|普通类,最低分/最低位次：513/121879
长春大学,物理类|本科批|普通类,最低分/最低位次：513/122058
西北民族大学,物理类|本科批|普通类,最低分/最低位次：513/122113
中国民用航空飞行学院,物理类|本科批|普通类,最低分/最低位次：513/122483
韶关学院,物理类|本科批|普通类,最低分/最低位次：513/123021
嘉应学院,物理类|本科批|普通类,最低分/最低位次：513/121832
嘉应学院,物理类|本科批|普通类,最低分/最低位次：513/123040
嘉应学院,物理类|本科批|普通类,最低分/最低位次：513/122127
广东第二师范学院,物理类|本科批|普通类,最低分/最低位次：513/121752
齐齐哈尔医学院,物理类|本科批|普通类,最低分/最低位次：513/122588
新疆第二医学院,物理类|本科批|普通类,最低分/最低位次：513/122884
福建江夏学院,物理类|本科批|普通类,最低分/最低位次：513/122395
贵州商学院,物理类|本科批|普通类,最低分/最低位次：513/121821
中原工学院,物理类|本科批|普通类,最低分/最低位次：512/124283
大连工业大学,物理类|本科批|普通类,最低分/最低位次：512/124336
广东海洋大学,物理类|本科批|普通类,最低分/最低位次：512/124385
吉林建筑大学,物理类|本科批|普通类,最低分/最低位次：512/124505
吉林建筑大学,物理类|本科批|普通类,最低分/最低位次：512/123879
广东医科大学,物理类|本科批|普通类,最低分/最低位次：512/123668
岭南师范学院,物理类|本科批|普通类,最低分/最低位次：512/124228
广西民族大学,物理类|本科批|普通类,最低分/最低位次：512/124152
北华航天工业学院,物理类|本科批|普通类,最低分/最低位次：512/123794
天津体育学院,物理类|本科批|普通类,最低分/最低位次：512/123429
赣南医学院,物理类|本科批|普通类,最低分/最低位次：512/123674
韩山师范学院,物理类|本科批|普通类,最低分/最低位次：512/123321
广州航海学院,物理类|本科批|普通类,最低分/最低位次：512/123465
牡丹江医学院,物理类|本科批|普通类,最低分/最低位次：512/123257
湖南工学院,物理类|本科批|普通类,最低分/最低位次：512/123328
右江民族医学院,物理类|本科批|普通类,最低分/最低位次：512/124316
新乡医学院三全学院,物理类|本科批|普通类,最低分/最低位次：512/124280
北京中医药大学东方学院,物理类|本科批|普通类,最低分/最低位次：512/123942
齐鲁工业大学,物理类|本科批|普通类,最低分/最低位次：511/124846
安徽中医药大学,物理类|本科批|普通类,最低分/最低位次：511/124794
长春工业大学,物理类|本科批|普通类,最低分/最低位次：511/125590
北华大学,物理类|本科批|普通类,最低分/最低位次：511/125335
北华大学,物理类|本科批|普通类,最低分/最低位次：511/126000
岭南师范学院,物理类|本科批|普通类,最低分/最低位次：511/125865
肇庆学院,物理类|本科批|普通类,最低分/最低位次：511/125670
郑州航空工业管理学院,物理类|本科批|普通类,最低分/最低位次：511/125394
